rank,city,aspect_mentions,unique_aspects,mean_sentiment,median_sentiment,std_sentiment,min_sentiment,max_sentiment,top_positive_aspect,top_negative_aspect
39,near the airport (likely Podgorica or Tivat),3,3,5.0,5.0,0.0,5.0,5.0,accommodation,accommodation
40,Yosemite,7,7,5.0,5.0,0.0,5.0,5.0,destination preference,destination preference
41,Alexandria,4,4,5.0,5.0,0.0,5.0,5.0,atmosphere,atmosphere
42,Kyushu,7,7,5.0,5.0,0.0,5.0,5.0,food,food
43,Poiana Brașov,3,2,5.0,5.0,0.0,5.0,5.0,food,food
44,Luquillo,4,4,5.0,5.0,0.0,5.0,5.0,bioluminescent bay,bioluminescent bay
45,San Pedro de Atacama,3,3,5.0,5.0,0.0,5.0,5.0,destination,destination
46,Lijiang,5,5,5.0,5.0,0.0,5.0,5.0,destination recommendation,destination recommendation
47,Alsace,7,7,5.0,5.0,0.0,5.0,5.0,food,food
48,Port Angeles,9,9,4.889,5.0,0.333,4.0,5.0,hoh rainforest,rialto beach
49,Georgetown,8,7,4.875,5.0,0.354,4.0,5.0,architecture,beach resorts
50,Ascona,7,7,4.857,5.0,0.378,4.0,5.0,attraction,general impression
51,Songyang,7,7,4.857,5.0,0.378,4.0,5.0,attractions,accommodation
52,Meteora,5,4,4.8,5.0,0.447,4.0,5.0,meteora as a destination,destination appeal
53,Killarney,5,4,4.8,5.0,0.447,4.0,5.0,killarney national park,biking
54,Alghero,5,5,4.8,5.0,0.447,4.0,5.0,beach,grotta di nettuno
55,Jogja,5,5,4.8,5.0,0.447,4.0,5.0,attractions,public transportation
56,Cardiff,10,9,4.8,5.0,0.422,4.0,5.0,arcades,rugby culture
57,Riquewihr,5,5,4.8,5.0,0.447,4.0,5.0,food,overall impression
58,Coorg,5,3,4.8,5.0,0.447,4.0,5.0,overall experience,weather
59,Narva,5,5,4.8,5.0,0.447,4.0,5.0,castles,border crossing
60,Quetzaltenango,15,14,4.8,5.0,0.414,4.0,5.0,city atmosphere,cementerio general
61,Nara,5,5,4.8,5.0,0.447,4.0,5.0,exploration opportunities,itinerary
62,Rhodes,9,6,4.778,5.0,0.667,3.0,5.0,beaches,transportation
63,Cinque Terre,9,8,4.778,5.0,0.667,3.0,5.0,best time to visit,public transportation
64,Belfast,9,9,4.778,5.0,0.441,4.0,5.0,atmosphere,duration of stay
65,Dali,9,9,4.778,5.0,0.667,3.0,5.0,accommodation,trip duration
66,Pu Luong,21,18,4.762,5.0,0.436,4.0,5.0,overall experience,biking
67,Chambery,4,4,4.75,5.0,0.5,4.0,5.0,natural attractions,tourist crowds
68,Zanzibar,4,4,4.75,5.0,0.5,4.0,5.0,activity,destination
69,Nashville,4,4,4.75,5.0,0.5,4.0,5.0,events and entertainment,driving routes
70,Lauterbrunnen,8,8,4.75,5.0,0.463,4.0,5.0,attractions,food
71,Porto de Galinhas,4,3,4.75,5.0,0.5,4.0,5.0,beach quality,beaches
72,Kolkata,8,8,4.75,5.0,0.463,4.0,5.0,attractions,accommodation
73,Atitlan,4,4,4.75,5.0,0.5,4.0,5.0,cultural experience,resorts
74,Fontainebleau,4,3,4.75,5.0,0.5,4.0,5.0,cost,attractions
75,Bohinj,8,8,4.75,5.0,0.463,4.0,5.0,accessibility,destination
76,Bath,4,4,4.75,5.0,0.5,4.0,5.0,attraction,day trip to bath
77,Mauritius,4,4,4.75,5.0,0.5,4.0,5.0,beach relaxation,guided excursions
78,Fujiyoshida,4,4,4.75,5.0,0.5,4.0,5.0,natural beauty,pace of life
79,Trento,4,4,4.75,5.0,0.5,4.0,5.0,city attractions,transportation cost
80,Ghent,15,14,4.733,5.0,0.594,3.0,5.0,architecture,location
81,Padang,11,11,4.727,5.0,0.467,4.0,5.0,architecture,connectivity
82,Noboribetsu,7,7,4.714,5.0,0.488,4.0,5.0,onsen experience,bear zoo
83,Bosa,7,7,4.714,5.0,0.488,4.0,5.0,accommodation location,car rental
84,Strasbourg,7,7,4.714,5.0,0.488,4.0,5.0,architecture,attractions
85,Sofia,10,10,4.7,5.0,0.483,4.0,5.0,atmosphere,architecture
86,Valletta,10,10,4.7,5.0,0.483,4.0,5.0,aesthetics,bridge bar
87,New Norfolk,3,3,4.667,5.0,0.577,4.0,5.0,dining experience,wineries
88,Choquequirao,3,3,4.667,5.0,0.577,4.0,5.0,hiking,trekking route
89,Utrecht,3,2,4.667,5.0,0.577,4.0,5.0,city worthiness,transportation
90,Rabat,3,3,4.667,5.0,0.577,4.0,5.0,charming alleys,town charm
91,Nagasaki,6,6,4.667,5.0,0.516,4.0,5.0,atmosphere,city attractions
92,El Tunco,3,3,4.667,5.0,0.577,4.0,5.0,airport proximity,destination
93,El Chorro,3,3,4.667,5.0,0.577,4.0,5.0,trail difficulty,tourist experience
94,Yogya,3,3,4.667,5.0,0.577,4.0,5.0,city interest,city charm
95,Shimla,3,3,4.667,5.0,0.577,4.0,5.0,local people,crowd
96,Lake Titicaca,3,3,4.667,5.0,0.577,4.0,5.0,local experience,lake
97,AlUla,6,6,4.667,5.0,0.516,4.0,5.0,atmosphere,crowds
98,Sao Miguel,6,6,4.667,5.0,0.516,4.0,5.0,island,duration of stay
99,Andaman and Nicobar Islands,3,3,4.667,5.0,0.577,4.0,5.0,pace of life,tourist destinations
100,Korçë,3,3,4.667,5.0,0.577,4.0,5.0,cafe and restaurant scene,nightlife
101,Antibes,3,3,4.667,5.0,0.577,4.0,5.0,accommodation,towns
102,Koh Yao Noi,6,6,4.667,5.0,0.516,4.0,5.0,accommodation offers,relaxing
103,Koh Tao,3,3,4.667,5.0,0.577,4.0,5.0,island relaxation,nightlife
104,Ko Chang,3,3,4.667,5.0,0.577,4.0,5.0,beach experience,transportation
105,Key West,3,3,4.667,5.0,0.577,4.0,5.0,island getaway,key west
106,Parma,3,3,4.667,5.0,0.577,4.0,5.0,architecture,transportation cost
107,Portland,3,3,4.667,5.0,0.577,4.0,5.0,city charm,driving distance
108,Shangri-La,3,3,4.667,5.0,0.577,4.0,5.0,destination recommendation,region
109,Douro Valley,3,3,4.667,5.0,0.577,4.0,5.0,scenic area,wine region
110,Otaru,3,3,4.667,5.0,0.577,4.0,5.0,japanese fried chicken,tourist town
111,Okavango Delta,3,3,4.667,5.0,0.577,4.0,5.0,boat cruises,tour guides
112,Mdina,3,3,4.667,5.0,0.577,4.0,5.0,churches,mdina exploration
113,Marrakech,6,6,4.667,5.0,0.816,3.0,5.0,architecture,marrakech
114,Marsaxlokk,3,3,4.667,5.0,0.577,4.0,5.0,destination recommendation,town charm
115,Huaraz,9,6,4.667,5.0,0.707,3.0,5.0,city overall,altitude
116,Matosinhos,3,3,4.667,5.0,0.577,4.0,5.0,food options,location
117,Tallinn,27,22,4.63,5.0,0.629,3.0,5.0,affordability,tourist arrivals
118,Ushuaia,8,8,4.625,5.0,0.518,4.0,5.0,countryside,car rental
119,Dingle,8,6,4.625,5.0,0.744,3.0,5.0,dingle peninsula,hiking
120,Iquitos,8,7,4.625,5.0,0.518,4.0,5.0,accommodation,amazon trip
121,Ninh Binh,13,12,4.615,5.0,0.506,4.0,5.0,attraction,boat ride
122,Molinos,5,5,4.6,5.0,0.894,3.0,5.0,accommodation,road conditions
123,Hokkaido,5,5,4.6,5.0,0.548,4.0,5.0,regional climate,driving experience
124,Victoria Falls,5,4,4.6,5.0,0.548,4.0,5.0,victoria falls,river cruise
125,Bled,10,8,4.6,5.0,0.699,3.0,5.0,hiking,lake bled
126,unknown,17,14,4.588,5.0,1.064,1.0,5.0,accommodation,water parks
127,Kamikochi,7,7,4.571,5.0,0.535,4.0,5.0,accommodation,crowds
128,Lhasa,21,20,4.571,5.0,0.746,3.0,5.0,accommodation,altitude
129,Bursa,7,7,4.571,5.0,0.535,4.0,5.0,bursa grand mosque,cable car
130,Cebu City,7,7,4.571,5.0,0.787,3.0,5.0,café scene,cebu city
131,Furano,4,4,4.5,4.5,0.577,4.0,5.0,farmlands and vistas,animals and ice cream
132,Quebec City,4,4,4.5,4.5,0.577,4.0,5.0,glamping,accommodation
133,Tigre,6,5,4.5,4.5,0.548,4.0,5.0,boat tour,city center
134,Normandy,10,8,4.5,5.0,0.707,3.0,5.0,beaches,transportation
135,München,4,4,4.5,4.5,0.577,4.0,5.0,augustiner beer,cafe
136,Roskilde,4,4,4.5,4.5,0.577,4.0,5.0,museum,cathedral
137,Oka,4,4,4.5,4.5,0.577,4.0,5.0,church,ferry ride
138,Kunming,6,6,4.5,5.0,0.837,3.0,5.0,destination recommendation,trip duration
139,Haarlem,4,4,4.5,4.5,0.577,4.0,5.0,city charm,accommodation
140,Suzhou,18,16,4.5,5.0,0.857,2.0,5.0,bar/nightlife,noise level
141,Mendoza,4,4,4.5,4.5,0.577,4.0,5.0,previous travel experience,horse riding experience
142,Sedona,4,3,4.5,4.5,0.577,4.0,5.0,scenic drive,overall experience
143,Sapporo,14,14,4.5,5.0,0.76,3.0,5.0,activities,accommodation
144,Ulcinj,4,3,4.5,4.5,0.577,4.0,5.0,cost,ottoman architecture
145,Hiroshima,10,10,4.5,5.0,0.85,3.0,5.0,exploration,accommodation
146,Korcula,4,4,4.5,5.0,1.0,3.0,5.0,atmosphere,destination choice
147,Marseille,4,4,4.5,4.5,0.577,4.0,5.0,city preference,destination recommendation
148,Perast,10,9,4.5,5.0,0.707,3.0,5.0,atmosphere,perast
149,Siracusa,4,4,4.5,4.5,0.577,4.0,5.0,food,culture
150,Bogotá,8,8,4.5,5.0,0.756,3.0,5.0,food scene,stopover experience
151,Mandaue,4,4,4.5,4.5,0.577,4.0,5.0,accommodation,breakfast
152,Kingston,4,4,4.5,4.5,0.577,4.0,5.0,location,dining options
153,Kigali,8,8,4.5,5.0,0.756,3.0,5.0,gorilla treks,visa and permit process
154,La Maddalena,4,4,4.5,5.0,1.0,3.0,5.0,beaches,naval experience
155,Himare,9,9,4.444,5.0,0.726,3.0,5.0,atmosphere,beach
156,Cordoba,9,9,4.444,5.0,0.726,3.0,5.0,attractions,study abroad program
157,Kathmandu,7,7,4.429,5.0,0.787,3.0,5.0,culture,ebc trek difficulty
158,Grand Canyon,5,2,4.4,5.0,1.342,2.0,5.0,national park,natural attraction
159,Cat Ba,5,4,4.4,4.0,0.548,4.0,5.0,tour activity,cycling
160,San Sebastian,5,5,4.4,5.0,1.342,2.0,5.0,city preference,culture
161,Amalfi Coast,5,5,4.4,5.0,0.894,3.0,5.0,beach activities,transportation
162,Sveti Stefan,5,5,4.4,4.0,0.548,4.0,5.0,accommodation,attractions
163,Chefchaouen,5,4,4.4,5.0,0.894,3.0,5.0,city beauty,chefchaouen
164,Sevilla,21,19,4.4,5.0,1.095,2.0,5.0,activities,cost
165,Trabzon,5,2,4.4,5.0,1.342,2.0,5.0,nature and scenery,overall experience
166,Iguazu,5,5,4.4,5.0,0.894,3.0,5.0,attraction,iguaza falls
167,Addis Ababa,5,5,4.4,5.0,0.894,3.0,5.0,airline reliability,airline comfort
168,Glasgow,5,5,4.4,5.0,0.894,3.0,5.0,day trips,car rental
169,Tripoli,5,5,4.4,5.0,0.894,3.0,5.0,architecture,neighborhoods
170,Gozo,15,15,4.4,5.0,1.121,2.0,5.0,accommodation,accommodation location
171,Zermatt,8,6,4.375,4.5,0.744,3.0,5.0,mountain scenery,public transportation
172,Berat,8,7,4.375,4.5,0.744,3.0,5.0,destination,city
173,Pralognan-la-Vanoise,24,14,4.375,5.0,0.77,3.0,5.0,high altitude pastures,national park regulations
174,Takayama,11,11,4.364,5.0,0.924,3.0,5.0,attractions,accommodation
175,Kotor,58,46,4.362,5.0,0.912,2.0,5.0,kotor fortress,crowds
176,Siem Reap,14,14,4.357,4.5,0.745,3.0,5.0,accommodation,cambodia as a destination
177,Lagos,14,13,4.357,5.0,1.008,2.0,5.0,attractions,tourist destinations
178,Edinburgh,17,15,4.353,4.0,0.786,2.0,5.0,accommodation duration,transportation
179,Dublin,38,31,4.342,5.0,0.815,2.0,5.0,route planning,weather
180,Samarkand,3,3,4.333,5.0,1.155,3.0,5.0,destination,samarkand visit
181,Prato,3,3,4.333,5.0,1.155,3.0,5.0,prato chinatown,accommodation
182,Stirling,3,3,4.333,5.0,1.155,3.0,5.0,attractions,local scenery
183,Hilo,3,3,4.333,4.0,0.577,4.0,5.0,natural beauty,accommodation
184,Naxos,9,9,4.333,4.0,0.707,3.0,5.0,atmosphere,accommodation
185,Bengaluru,3,2,4.333,4.0,0.577,4.0,5.0,weather,bengaluru
186,Bukhara,3,3,4.333,5.0,1.155,3.0,5.0,destination,bukhara experience
187,Volcanos National Park,3,3,4.333,5.0,1.155,3.0,5.0,gorilla trekking experience,weather and terrain
188,Volterra,3,3,4.333,5.0,1.155,3.0,5.0,shopping,crowds
189,Arles,3,3,4.333,4.0,0.577,4.0,5.0,walkability,art and culture
190,Cotopaxi,3,3,4.333,5.0,1.155,3.0,5.0,nature,activities
191,Trogir,3,3,4.333,4.0,0.577,4.0,5.0,historical area,accommodation
192,Bad Ischl,3,3,4.333,5.0,1.155,3.0,5.0,scenic beauty,transportation
193,Iguazú,3,3,4.333,5.0,1.155,3.0,5.0,attraction,iguazú
194,Avignon,6,6,4.333,4.5,0.816,3.0,5.0,dining,accommodation
195,Herceg Novi,6,6,4.333,4.0,0.516,4.0,5.0,promenade,beach
196,Hamburg,6,6,4.333,4.5,0.816,3.0,5.0,alternative destinations,destination suggestion
197,Lake Bled,3,3,4.333,5.0,1.155,3.0,5.0,natural beauty,town size
198,Cologne,3,3,4.333,4.0,0.577,4.0,5.0,alternative destinations,cathedrals
199,Sharm,3,3,4.333,4.0,0.577,4.0,5.0,accommodation,dining and nightlife
200,Tangier,3,2,4.333,5.0,1.155,3.0,5.0,city visit,tangier
201,Sandakan,3,3,4.333,5.0,1.155,3.0,5.0,jungle experience,getting around
202,Lombok,3,3,4.333,4.0,0.577,4.0,5.0,island experience,nature
203,Tomsk,3,3,4.333,4.0,0.577,4.0,5.0,natural scenery,food
204,York,3,3,4.333,5.0,1.155,3.0,5.0,history,accommodation
205,Bari,3,3,4.333,4.0,0.577,4.0,5.0,transportation,cultural experiences
206,Luxembourg,3,3,4.333,4.0,0.577,4.0,5.0,food,city visit
207,Jiufen,3,3,4.333,4.0,0.577,4.0,5.0,day trips,jiufen
208,Reykjavik,6,5,4.333,4.5,0.816,3.0,5.0,natural beauty,sightseeing
209,Hangzhou,3,3,4.333,5.0,1.155,3.0,5.0,day trip,transportation
210,Quito,6,6,4.333,4.5,0.816,3.0,5.0,accommodation,overall trip planning
211,Vienna,42,33,4.31,5.0,0.975,2.0,5.0,architecture,city excitement
212,New Orleans,27,18,4.296,5.0,0.953,2.0,5.0,restaurant - brendan's,weather
213,Corfu,7,4,4.286,5.0,0.951,3.0,5.0,location,corfu day trip
214,Thessaloniki,14,11,4.286,5.0,1.069,2.0,5.0,city,attractions
215,Antalya,18,15,4.278,5.0,1.406,1.0,5.0,beaches,beach activities
216,Busan,11,10,4.273,5.0,0.905,3.0,5.0,art and culture,transportation
217,San Juan,34,27,4.265,4.5,0.828,3.0,5.0,isla verde beach,condado beach
218,Granada,27,24,4.259,5.0,1.13,1.0,5.0,accommodation,attraction booking process
219,La Paz,4,4,4.25,4.5,0.957,3.0,5.0,bicycle riding,travel safety
220,Thun,4,4,4.25,4.0,0.5,4.0,5.0,scenic views,cycling
221,Acadia,4,4,4.25,4.0,0.5,4.0,5.0,natural beauty,hiking and camping
222,Tikal,8,6,4.25,5.0,1.165,2.0,5.0,attractions,location
223,Huacachina,4,4,4.25,4.5,0.957,3.0,5.0,relaxation,sand boarding
224,Postojna,4,4,4.25,4.5,0.957,3.0,5.0,attractions,caves
225,Valladolid,9,8,4.222,4.0,0.972,2.0,5.0,cenotes,accommodation
226,London,151,93,4.205,5.0,0.961,1.0,5.0,itinerary flexibility,transportation cost
227,Chobe National Park,5,5,4.2,4.0,0.447,4.0,5.0,wildlife,game drive
228,Trieste,10,10,4.2,4.5,1.229,1.0,5.0,airport access,tourist information
229,Yamanashi,5,5,4.2,5.0,1.304,2.0,5.0,birthday celebration,weather
230,Easter Island,5,5,4.2,5.0,1.304,2.0,5.0,overall experience,cost
231,Dominical,5,5,4.2,4.0,0.837,3.0,5.0,local attractions,transportation
232,Vlora,5,5,4.2,4.0,0.447,4.0,5.0,beach diversity,beach quality
233,Kumamoto,5,5,4.2,4.0,0.837,3.0,5.0,attractions,car rental and driving
234,Montevideo,5,5,4.2,5.0,1.304,2.0,5.0,cemetery,city experience
235,Hobart,15,13,4.2,5.0,1.014,2.0,5.0,markets,city activities
236,Kota Kinabalu,11,9,4.182,4.0,0.603,3.0,5.0,diving,getting around
237,Dhërmi,11,11,4.182,4.0,0.751,3.0,5.0,beaches,beach quality
238,Masai Mara,11,9,4.182,4.0,0.982,2.0,5.0,food,value for money
239,Denver,34,29,4.176,4.0,0.968,2.0,5.0,neighborhood,uniqueness
240,Phong Nha,6,6,4.167,4.0,0.753,3.0,5.0,attractions,road conditions
241,Brașov,12,10,4.167,5.0,1.528,1.0,5.0,biserica neagră,parking
242,La Palma,6,6,4.167,4.5,0.983,3.0,5.0,hiking,accommodation
243,Seattle,12,12,4.167,4.0,0.937,2.0,5.0,destination recommendation,rental car prices
244,Puerto Maldonado,6,5,4.167,4.5,0.983,3.0,5.0,nature,accommodation
245,Guangzhou,6,3,4.167,4.0,0.753,3.0,5.0,transportation,itinerary planning
246,Kuching,6,6,4.167,4.5,0.983,3.0,5.0,accommodation,beaches
247,Vancouver,31,26,4.161,4.0,0.779,3.0,5.0,activities,vancouver
248,Porto,65,56,4.154,4.0,0.775,2.0,5.0,wine tasting,accommodation cost
249,Bratislava,7,6,4.143,4.0,0.9,3.0,5.0,route suggestion,stopover
250,Manchester,7,6,4.143,4.0,0.9,3.0,5.0,local experience,local cuisine
251,Pompeii,7,7,4.143,4.0,0.9,3.0,5.0,attraction,attraction value
252,India,7,7,4.143,4.0,0.69,3.0,5.0,backpacking,safety
253,Kazbegi,8,8,4.125,4.5,0.991,3.0,5.0,comfort,activities
254,Galway,16,15,4.125,4.0,0.719,3.0,5.0,attractions,itinerary
255,Bariloche,9,8,4.111,4.0,0.782,3.0,5.0,food and drink,attraction
256,Penang,9,6,4.111,4.0,1.054,2.0,5.0,flights,beaches
257,Krabi,10,10,4.1,4.0,0.568,3.0,5.0,natural beauty,krabi experience
258,Minca,10,10,4.1,4.0,0.568,3.0,5.0,birdwatching,accommodation options
259,Arequipa,10,8,4.1,4.0,0.568,3.0,5.0,city overall,itinerary planning
260,Warsaw,23,21,4.087,4.0,0.949,2.0,5.0,city atmosphere,atm availability
261,Taipei,85,63,4.082,4.0,1.049,1.0,5.0,proximity to nature,temperature
262,Bangkok,37,28,4.081,4.0,0.894,2.0,5.0,food tour,weather
263,Chiang Mai,13,13,4.077,4.0,0.954,2.0,5.0,animal sanctuaries,trip duration
264,Tokyo,109,82,4.075,4.0,0.992,1.0,5.0,honesty of locals,takeshita street
265,Ohrid,15,13,4.067,5.0,1.387,2.0,5.0,atmosphere,border crossing
266,Shanghai,32,28,4.062,5.0,1.162,2.0,5.0,architecture,city change experience
267,Riga,18,14,4.056,4.0,0.998,2.0,5.0,architecture,nightlife
268,San Marino,19,17,4.053,4.0,0.97,2.0,5.0,hiking,weather
269,Osaka,26,18,4.038,4.0,0.916,2.0,5.0,attractions,local attitude towards tourism
270,Palermo,26,23,4.038,4.0,1.076,2.0,5.0,food,beach
271,Nagano,3,3,4.0,4.0,1.0,3.0,5.0,local interaction,public transportation
272,Negombo,3,3,4.0,4.0,0.0,4.0,4.0,accommodation,accommodation
273,New Delhi,3,3,4.0,4.0,0.0,4.0,4.0,architecture,architecture
274,Prince Edward County,3,3,4.0,4.0,0.0,4.0,4.0,apple orchards,apple orchards
275,None,82,65,4.0,4.0,1.197,1.0,5.0,mountains,price
276,Pompei,4,3,4.0,5.0,2.0,1.0,5.0,attraction,transportation
277,Sacred Valley,3,3,4.0,4.0,0.0,4.0,4.0,day tour,day tour
278,San Francisco,15,13,4.0,4.0,1.069,1.0,5.0,city,cost
279,Madeira,4,4,4.0,4.5,1.414,2.0,5.0,destination attractiveness,safety/concerns
280,San Gimignano,3,3,4.0,4.0,1.0,3.0,5.0,san gimignano gelato,crowds
281,San José,3,3,4.0,4.0,0.0,4.0,4.0,accommodation,accommodation
282,Maasai Mara,5,5,4.0,4.0,1.225,2.0,5.0,maasai mara,crowd levels
283,Southern Spain,3,3,4.0,4.0,1.0,3.0,5.0,train travel,bus travel
284,Picton,3,3,4.0,4.0,0.0,4.0,4.0,attractions,attractions
285,Dresden,3,3,4.0,4.0,1.0,3.0,5.0,location,transportation
286,Hoi An,29,27,4.0,4.0,0.845,2.0,5.0,accommodation location,bike reliability
287,Pisa,3,3,4.0,4.0,0.0,4.0,4.0,attractions,attractions
288,Hakodate,7,7,4.0,4.0,0.816,3.0,5.0,seafood,accommodation
289,Ha Long Bay,4,4,4.0,4.5,1.414,2.0,5.0,proximity,activity accessibility
290,Grindelwald,7,7,4.0,4.0,0.816,3.0,5.0,hiking trails,grindelwald first
291,Tam Coc,5,5,4.0,4.0,1.225,2.0,5.0,cycling,crowds
292,Gordes,3,3,4.0,4.0,1.0,3.0,5.0,scenery,accommodation cost
293,Glencoe,4,4,4.0,4.0,0.816,3.0,5.0,scenic beauty,tourist infrastructure
294,Yangshuo,3,3,4.0,4.0,1.0,3.0,5.0,weather,city visit consideration
295,Tirana,47,38,4.0,4.0,0.978,2.0,5.0,park quality,driving in rain
296,Tivat,3,3,4.0,4.0,0.0,4.0,4.0,accommodation,accommodation
297,El Calafate,8,6,4.0,4.0,0.926,3.0,5.0,attraction,logistics
298,Egilsstadir,3,3,4.0,5.0,1.732,2.0,5.0,accommodation,road conditions
299,Tromso,4,4,4.0,4.5,1.414,2.0,5.0,northern lights,flight options
300,Hydra,3,3,4.0,4.0,1.0,3.0,5.0,"beaches in hydra, greece",beaches
301,DaNang,3,3,4.0,4.0,0.0,4.0,4.0,attractions,attractions
302,Xian,3,3,4.0,4.0,0.0,4.0,4.0,length of stay,length of stay
303,Washington D.C.,5,5,4.0,4.0,1.225,2.0,5.0,museums,weather
304,Colonia del Sacramento,5,5,4.0,4.0,0.707,3.0,5.0,city charm,attractions
305,Clifden,3,3,4.0,4.0,0.0,4.0,4.0,castle stay,castle stay
306,Cetinje,3,3,4.0,4.0,0.0,4.0,4.0,architecture,architecture
307,Cesky Krumlov,3,3,4.0,4.0,1.0,3.0,5.0,overall experience,destination flexibility
308,Boulder,3,3,4.0,4.0,1.0,3.0,5.0,brunch,town character
309,Cat Ba Island,3,3,4.0,4.0,0.0,4.0,4.0,beach,beach
310,Vlore,5,5,4.0,4.0,1.225,2.0,5.0,destination,overall experience
311,Cartagena,15,11,4.0,4.0,1.069,2.0,5.0,architecture,prices
312,Capri,8,8,4.0,4.5,1.195,2.0,5.0,beaches,price
313,Cambridge,3,2,4.0,5.0,1.732,2.0,5.0,cambridge,transportation
314,Banff,3,3,4.0,4.0,1.0,3.0,5.0,destination recommendation,banff
315,Belgrade,4,4,4.0,4.0,0.816,3.0,5.0,uniqueness,belgrade
316,Savannah,3,3,4.0,5.0,1.732,2.0,5.0,overall experience,weather
317,Lake Atitlan,5,4,4.0,4.0,1.225,2.0,5.0,safety,beach/lake
318,Interlaken,12,11,4.0,4.0,0.953,2.0,5.0,city,accommodation
319,Baku,8,8,4.0,4.5,1.414,1.0,5.0,ateshgah (fire temple),traffic
320,Sarandë,3,3,4.0,4.0,0.0,4.0,4.0,overall experience,overall experience
321,multiple,4,4,4.0,4.0,0.816,3.0,5.0,itinerary,transportation
322,Semporna,5,5,4.0,4.0,1.225,2.0,5.0,snorkeling and diving,city
323,Zürich,4,4,4.0,4.5,1.414,2.0,5.0,public transport,transportation cost
324,Koh Samui,14,13,4.0,4.0,1.109,2.0,5.0,accommodation,cost
325,unspecified,6,6,4.0,4.0,1.095,2.0,5.0,local assistance,traffic
326,Schwangau,8,8,4.0,4.0,0.926,3.0,5.0,attractions,attraction
327,José Ignacio,4,4,4.0,4.5,1.414,2.0,5.0,restaurant,seasonal experience
328,Jardin,6,6,4.0,4.0,1.095,2.0,5.0,atmosphere,rural area safety
329,Prague,44,33,3.977,4.0,1.11,1.0,5.0,accommodation,logistics
330,Venice,28,22,3.964,4.0,1.071,2.0,5.0,walking,travel time
331,Mexico City,73,56,3.958,5.0,1.368,1.0,5.0,xochimilco experience,pollution
